RedFighter,BlueFighter,Date,Location,Country,Winner,TitleBout,WeightClass,WinnerNationality,Loser,LoserNationality
Mark Hunt,Sean McCorkle,2010-09-25,"Indianapolis, Indiana, USA",Usa,Sean McCorkle,False,Heavyweight,Other,Mark Hunt,Australian
George Sotiropoulos,Kurt Pellegrino,2010-07-03,"Las Vegas, Nevada, USA",Usa,George Sotiropoulos,False,Lightweight,Australian,Kurt Pellegrino,Other
Muhammad Naimov,Kaan Ofli,2025-02-02,"Riyadh, Riyadh, Saudi Arabia",Saudi Arabia,Muhammad Naimov,False,Featherweight,Other,Kaan Ofli,Australian
Tallison Teixeira,Justin Tafa,2025-02-09,"Sydney, New South Wales, Australia",Australia,Tallison Teixeira,False,Heavyweight,Other,Justin Tafa,Australian
Jimmy Crute,Rodolfo Bellato,2025-02-09,"Sydney, New South Wales, Australia",Australia,Jimmy Crute,False,Light Heavyweight,Australian,Rodolfo Bellato,Other
Jake Matthews,Francisco Prado,2025-02-09,"Sydney, New South Wales, Australia",Australia,Jake Matthews,False,Welterweight,Australian,Francisco Prado,Other
Jack Jenkins,Gabriel Santos,2025-02-09,"Sydney, New South Wales, Australia",Australia,Gabriel Santos,False,Featherweight,Other,Jack Jenkins,Australian
Tom Nolan,Viacheslav Borshchev,2025-02-09,"Sydney, New South Wales, Australia",Australia,False,Lightweight,Australian,Viacheslav Borshchev,Other
Colby Thicknesse,Aleksandre Topuria,2025-02-09,"Sydney, New South Wales, Australia",Australia,Aleksandre Topuria,False,Bantamweight,Other,Colby Thicknesse,Australian
Jonathan Micallef,Kevin Jousset,2025-02-09,"Sydney, New South Wales, Australia",Australia,Jonathan Micallef,False,Welterweight,Australian,Kevin Jousset,Other
Quillan Salkilld,Anshul Jubli,2025-02-09,"Sydney, New South Wales, Australia",Australia,Quillan Salkilld,False,Lightweight,Australian,Anshul Jubli,Other
Brandon Moreno,Steve Erceg,2025-03-30,"Mexico City, Distrito Federal, Mexico", Mexico,Brandon Moreno,False,Flyweight,Other,Steve Erceg,Australian
Alexander Volkanovski,Diego Lopes,2025-04-13,"Miami, Florida, USA",USA,Alexander Volkanovski,True,Featherweight,Australian,Diego Lopes,Other
Jack Della Maddalena,Belal Muhammad,2025-05-11,"Montreal, Quebec, Canada",Canada,Jack Della Maddalena,True,Welterweight,Australian,Belal Muhammad,Other
Quillan Salkilld,Yanal Ashmouz,2025-06-08,"Newark, New Jersey, USA",USA,Quillan Salkilld,False,Lightweight,Australian,Yanal Ashmouz,Other
Junior Tafa,Tuco Tokkos,2025-07-13,"Nashvile, Tennessee, USA",USA,Tuco Tokkos,False,Light Heavyweight,Other,Junior Tafa,Australian
Jake Matthews,Chidi Njokuani,2025-07-13,"Nashvile, Tennessee, USA",USA,Jake Matthews,False,Welterweight,Australian,Chidi Njokuani,Other
Jimmy Crute,Marcin Prachnio,2025-07-20,"New Orleans, Louisiana, USA",USA,Jimmy Crute,False,Light Heavyweight,Australian,Marcin Prachnio,Other
Robert Whittaker,Reinier de Ridder,2025-07-27,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Reinier de Ridder,False,Middleweight,Other,Robert Whittaker,Australian
Steve Erceg,Ode Osbourne,2025-08-10,"Las Vegas, Nevada, USA",USA,Steve Erceg,False,Bantamweight,Australian,Ode Osbourne,Other
Jimmy Crute,Ivan Erslan,2025-09-28,"Perth, Western Australia, Australia",Australia,Jimmy Crute,False,Light Heavyweight,Australian,Ivan Erslan,Other
Jack Jenkins,Ramon Taveras,2025-09-28,"Perth, Western Australia, Australia",Australia,Jack Jenkins,False,Featherweight,Other,Ramon Taveras,Other
Jake Matthews,Neil Magny,2025-09-28,"Perth, Western Australia, Australia",Australia,Neil Magny,False,Welterweight,Other,Jake Matthews,Australian
Tom Nolan,Charlie Campbell,2025-09-28,"Perth, Western Australia, Australia",Australia,Tom Nolan,False,Lightweight,Australian,Charlie Campbell,Other
Jamie Mullarkey,Rolando Bedoya,2025-09-28,"Perth, Western Australia, Australia",Australia,Jamie Mullarkey,False,Lightweight,Australian,Rolando Bedoya,Other
Colby Thicknesse,Josias Musasa,2025-09-28,"Perth, Western Australia, Australia",Australia,Colby Thicknesse,False,Bantamweight,Australian,Josias Musasa,Other
Brando Pericic,Elisha Ellison,2025-09-28,"Perth, Western Australia, Australia",Australia,Brando Pericic,False,Heavyweight,Australian,Elisha Ellison,Other
