RedFighter,RedNationality,BlueFighter,BlueNationality,Date,Location,Country,Winner,TitleBout,WeightClass,WinnerNationality,Loser,LoserNationality
Alexander Volkanovski,Australia,Yair Rodriguez,Mexico,2023-07-08,"Las Vegas, Nevada, USA",USA,Red,True,Featherweight,Australia,Yair Rodriguez,Mexico
Robert Whittaker,Australia,Dricus Du Plessis,South Africa,2023-07-08,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,South Africa,Robert Whittaker,Australia
Jimmy Crute,Australia,Alonzo Menifield,United States of America,2023-07-08,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,United States of America,Jimmy Crute,Australia
Shannon Ross,Australia,Jesus Aguilar,Mexico,2023-07-08,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,Mexico,Shannon Ross,Australia
Jamall Emmers,United States of America,Jack Jenkins,Australia,2023-06-24,"Jacksonville, Florida, USA",USA,Blue,False,Featherweight,Australia,Jamall Emmers,United States of America
David Dvorak,Czech Republic,Steve Erceg,Australia,2023-06-10,"Vancouver, British Columbia, Canada",Canada,Blue,False,Flyweight,Australia,David Dvorak,Czech Republic
Jamie Mullarkey,Australia,Muhammad Naimov,Tajikistan,2023-06-03,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,Tajikistan,Jamie Mullarkey,Australia
Jessica-Rose Clark,Australia,Tainara Lisboa,Brazil,2023-05-13,"Charlotte, North Carolina, USA",USA,Blue,False,Women's Bantamweight,Brazil,Jessica-Rose Clark,Australia
Mohammed Usman,United States of America,Junior Tafa,Australia,2023-04-22,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,United States of America,Junior Tafa,Australia
Islam Makhachev,Russia,Alexander Volkanovski,Australia,2023-02-11,"Perth, Western Australia, Australia",Australia,Red,True,Lightweight,Russia,Alexander Volkanovski,Australia
Jack Della Maddalena,Australia,Randy Brown,United States of America,2023-02-11,"Perth, Western Australia, Australia",Australia,Red,False,Welterweight,Australia,Randy Brown,United States of America
Justin Tafa,Australia,Parker Porter,United States of America,2023-02-11,"Perth, Western Australia, Australia",Australia,Red,False,Heavyweight,Australia,Parker Porter,United States of America
Tyson Pedro,Australia,Modestas Bukauskas,United Kingdom,2023-02-11,"Perth, Western Australia, Australia",Australia,Blue,False,Light Heavyweight,United Kingdom,Tyson Pedro,Australia
Josh Culibao,Australia,Melsik Baghdasaryan,United States of America,2023-02-11,"Perth, Western Australia, Australia",Australia,Red,False,Featherweight,Australia,Melsik Baghdasaryan,United States of America
Shannon Ross,Australia,Kleydson Rodrigues,United Kingdom,2023-02-11,"Perth, Western Australia, Australia",Australia,Blue,False,Flyweight,United Kingdom,Shannon Ross,Australia
Jamie Mullarkey,Australia,Francisco Prado,Argentina,2023-02-11,"Perth, Western Australia, Australia",Australia,Red,False,Lightweight,Australia,Francisco Prado,Argentina
Jack Jenkins,Australia,Don Shainis,United States of America,2023-02-11,"Perth, Western Australia, Australia",Australia,Red,False,Featherweight,Australia,Don Shainis,United States of America
Jake Matthews,Australia,Matthew Semelsberger,United States of America,2022-12-17,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,United States of America,Jake Matthews,Australia
Tai Tuivasa,Australia,Sergei Pavlovich,Russia,2022-12-03,"Orlando, Florida, USA",USA,Blue,False,Heavyweight,Russia,Tai Tuivasa,Australia
Jack Della Maddalena,Australia,Danny Roberts,United Kingdom,2022-11-19,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,Australia,Danny Roberts,United Kingdom
Nick Maximov,United States of America,Jacob Malkoun,Australia,2022-10-15,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,Australia,Nick Maximov,United States of America
Ciryl Gane,France,Tai Tuivasa,Australia,2022-09-03,"Paris, Ile-de-France, France",France,Red,False,Heavyweight,France,Tai Tuivasa,Australia
Robert Whittaker,Australia,Marvin Vettori,Italy,2022-09-03,"Paris, Ile-de-France, France",France,Red,False,Middleweight,Australia,Marvin Vettori,Italy
Tyson Pedro,Australia,Harry Hunsucker,Australia,2022-08-20,"Salt Lake City, Utah, USA",USA,Red,False,Light Heavyweight,Australia,Harry Hunsucker,Australia
AJ Fletcher,South Africa,Ange Loosa,Australia,2022-08-20,"Salt Lake City, Utah, USA",USA,Blue,False,Welterweight,Australia,AJ Fletcher,South Africa
Michael Johnson,United States of America,Jamie Mullarkey,Australia,2022-07-09,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,Australia,Michael Johnson,United States of America
Alexander Volkanovski,Australia,Max Holloway,United States of America,2022-07-02,"Las Vegas, Nevada, USA",USA,Red,True,Featherweight,Australia,Max Holloway,United States of America
Jessica-Rose Clark,Australia,Julija Stoliarenko,Lithuania,2022-07-02,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Bantamweight,Lithuania,Jessica-Rose Clark,Australia
Andre Fialho,United States of America,Jake Matthews,Australia,2022-06-11,"Kallang, Singapore",Singapore,Blue,False,Welterweight,Australia,Andre Fialho,United States of America
Jack Della Maddalena,Australia,Ramazan Emeev,Russia,2022-06-11,"Kallang, Singapore",Singapore,Red,False,Welterweight,Australia,Ramazan Emeev,Russia
SeungWoo Choi,South Korea,Josh Culibao,Australia,2022-06-11,"Kallang, Singapore",Singapore,Blue,False,Featherweight,Australia,SeungWoo Choi,South Korea
Brendan Allen,United States of America,Jacob Malkoun,Australia,2022-06-11,"Kallang, Singapore",Singapore,Red,False,Middleweight,United States of America,Jacob Malkoun,Australia
Tyson Pedro,Australia,Ike Villanueva,United States of America,2022-04-23,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,Australia,Ike Villanueva,United States of America
Mounir Lazzez,Tunisia,Ange Loosa,Australia,2022-04-16,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,Tunisia,Ange Loosa,Australia
Alexander Volkanovski,Australia,Chan Sung Jung,South Korea,2022-04-09,"Jacksonville, Florida, USA",USA,Red,True,Featherweight,Australia,Chan Sung Jung,South Korea
Jalin Turner,United States of America,Jamie Mullarkey,Australia,2022-03-05,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,United States of America,Jamie Mullarkey,Australia
Jessica-Rose Clark,Australia,Stephanie Egger,Switzerland,2022-02-19,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Bantamweight,Switzerland,Jessica-Rose Clark,Australia
Israel Adesanya,New Zealand,Robert Whittaker,Australia,2022-02-12,"Houston, Texas, USA",USA,Red,True,Middleweight,New Zealand,Robert Whittaker,Australia
Derrick Lewis,United States of America,Tai Tuivasa,Australia,2022-02-12,"Houston, Texas, USA",USA,Blue,False,Heavyweight,Australia,Derrick Lewis,United States of America
AJ Dobson,United States of America,Jacob Malkoun,Australia,2022-02-12,"Houston, Texas, USA",USA,Blue,False,Middleweight,Australia,AJ Dobson,United States of America
Jack Della Maddalena,Australia,Pete Rodriguez,United States of America,2022-01-22,"Anaheim, California, USA",USA,Red,False,Welterweight,Australia,Pete Rodriguez,United States of America
Justin Tafa,Australia,Harry Hunsucker,Australia,2021-12-18,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,Australia,Harry Hunsucker,Australia
Augusto Sakai,Brazil,Tai Tuivasa,Australia,2021-12-11,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,Australia,Augusto Sakai,Brazil
Jimmy Crute,Australia,Jamahal Hill,United States of America,2021-12-04,"Las Vegas, Nevada, USA",USA,Blue,False,Light Heavyweight,United States of America,Jimmy Crute,Australia
Jessica-Rose Clark,Australia,Joselyne Edwards,Panama,2021-10-23,"Las Vegas, Nevada, USA",USA,Red,False,Women's Bantamweight,Australia,Joselyne Edwards,Panama
Devonte Smith,United States of America,Jamie Mullarkey,Australia,2021-10-02,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,Australia,Devonte Smith,United States of America
Alexander Volkanovski,Australia,Brian Ortega,United States of America,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,True,Featherweight,Australia,Brian Ortega,United States of America
Tai Tuivasa,Australia,Greg Hardy,United States of America,2021-07-10,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,Australia,Greg Hardy,United States of America
Justin Tafa,Australia,Jared Vanderaa,United States of America,2021-05-22,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,United States of America,Justin Tafa,Australia
Josh Culibao,Australia,Shayilan Nuerdanbieke,China,2021-05-22,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,Australia,Shayilan Nuerdanbieke,China
Anthony Smith,United States of America,Jimmy Crute,Australia,2021-04-24,"Jacksonville, Florida, USA",USA,Red,False,Light Heavyweight,United States of America,Jimmy Crute,Australia
Robert Whittaker,Australia,Kelvin Gastelum,United States of America,2021-04-17,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,Australia,Kelvin Gastelum,United States of America
Abdul Razak Alhassan,United States of America,Jacob Malkoun,Australia,2021-04-17,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,Australia,Abdul Razak Alhassan,United States of America
Jamie Mullarkey,Australia,Khama Worthy,United States of America,2021-03-27,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,Australia,Khama Worthy,United States of America
Tai Tuivasa,Australia,Harry Hunsucker,Australia,2021-03-20,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,Australia,Harry Hunsucker,Australia
Sean Brady,United States of America,Jake Matthews,Australia,2021-03-06,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,United States of America,Jake Matthews,Australia
Carlos Felipe,Brazil,Justin Tafa,Australia,2021-01-16,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Heavyweight,Brazil,Justin Tafa,Australia
Robert Whittaker,Australia,Jared Cannonier,United States of America,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Middleweight,Australia,Jared Cannonier,United States of America
Jacob Malkoun,Australia,Phillip Hawes,United States of America,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Middleweight,United States of America,Jacob Malkoun,Australia
Stefan Struve,Netherlands,Tai Tuivasa,Australia,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Heavyweight,Australia,Stefan Struve,Netherlands
Jimmy Crute,Australia,Modestas Bukauskas,United Kingdom,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Light Heavyweight,Australia,Modestas Bukauskas,United Kingdom
Jamie Mullarkey,Australia,Fares Ziam,France,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Lightweight,France,Jamie Mullarkey,Australia
Diego Sanchez,United States of America,Jake Matthews,Australia,2020-09-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,False,Welterweight,Australia,Diego Sanchez,United States of America
Jessica-Rose Clark,Australia,Sarah Alpar,United States of America,2020-09-19,"Las Vegas, Nevada, USA",USA,Red,False,Women's Bantamweight,Australia,Sarah Alpar,United States of America
Robert Whittaker,Australia,Darren Till,Brazil,2020-07-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,False,Middleweight,Australia,Darren Till,Brazil
Alexander Volkanovski,Australia,Max Holloway,United States of America,2020-07-11,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,True,Featherweight,Australia,Max Holloway,United States of America
Jim Crute,Australia,Michal Oleksiejczuk,Poland,2020-02-22,"Auckland, New Zealand", New Zealand,Red,False,Light Heavyweight,Australia,Michal Oleksiejczuk,Poland
Ben Sosoli,Australia,Marcos Rogerio De Lima,Brazil,2020-02-22,"Auckland, New Zealand", New Zealand,Blue,False,Heavyweight,Brazil,Ben Sosoli,Australia
Jalin Turner,United States of America,Joshua Culibao,Australia,2020-02-22,"Auckland, New Zealand", New Zealand,Red,False,Lightweight,United States of America,Joshua Culibao,Australia
Jake Matthews,Australia,Emil Meek,Norway,2020-02-22,"Auckland, New Zealand", New Zealand,Red,False,Welterweight,Australia,Emil Meek,Norway
Callan Potter,Australia,Song Kenan,China,2020-02-22,"Auckland, New Zealand", New Zealand,Blue,False,Welterweight,China,Callan Potter,Australia
Juan Adams,United States of America,Justin Tafa,Australia,2020-02-08,"Houston, Texas, USA", USA,Blue,False,Heavyweight,Australia,Juan Adams,United States of America
Seungwoo Choi,South Korea,Suman Mokhtarian,Australia,2019-12-21,"Busan, South Korea", South Korea,Red,False,Featherweight,South Korea,Suman Mokhtarian,Australia
Max Holloway,United States of America,Alexander Volkanovski,Australia,2019-12-14,"Las Vegas, Nevada, USA", USA,Blue,True,Featherweight,Australia,Max Holloway,United States of America
Jessica-Rose Clark,Australia,Pannie Kianzad,United States of America,2019-11-09,"Moscow, Moscow, Russia", Russia,Blue,False,Women's Bantamweight,United States of America,Jessica-Rose Clark,Australia
Robert Whittaker,Australia,Israel Adesanya,New Zealand,2019-10-05,"Melbourne, Victoria, Australia", Australia,Blue,True,Middleweight,New Zealand,Robert Whittaker,Australia
Tai Tuivasa,Australia,Serghei Spivac,Moldova,2019-10-05,"Melbourne, Victoria, Australia", Australia,Blue,False,Heavyweight,Moldova,Tai Tuivasa,Australia
Justin Tafa,Australia,Yorgan De Castro,United States of America,2019-10-05,"Melbourne, Victoria, Australia", Australia,Blue,False,Heavyweight,United States of America,Justin Tafa,Australia
Jake Matthews,Australia,Rostem Akman,Australia,2019-10-05,"Melbourne, Victoria, Australia", Australia,Red,False,Welterweight,Australia,Rostem Akman,Australia
Callan Potter,Australia,Maki Pitolo,United States of America,2019-10-05,"Melbourne, Victoria, Australia", Australia,Red,False,Welterweight,Australia,Maki Pitolo,United States of America
Brad Riddell,New Zealand,Jamie Mullarkey,Australia,2019-10-05,"Melbourne, Victoria, Australia", Australia,Red,False,Lightweight,New Zealand,Jamie Mullarkey,Australia
Nadia Kassem,Australia,Ji Yeon Kim,United States of America,2019-10-05,"Melbourne, Victoria, Australia", Australia,Blue,False,Women's Flyweight,United States of America,Nadia Kassem,Australia
Misha Cirkunov,Canada,Jimmy Crute,Australia,2019-09-14,"Vancouver, British Columbia, Canada", Canada,Red,False,Light Heavyweight,Canada,Jimmy Crute,Australia
Tai Tuivasa,Australia,Blagoy Ivanov,Bulgaria,2019-06-08,"Chicago, Illinois, USA", USA,Blue,False,Heavyweight,Bulgaria,Tai Tuivasa,Australia
Rostem Akman,Australia,Sergey Khandozhko,Russia,2019-06-01,"Stockholm, Sweden", Sweden,Blue,False,Welterweight,Russia,Rostem Akman,Australia
Jose Aldo,Brazil,Alexander Volkanovski,Australia,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Blue,False,Featherweight,Australia,Jose Aldo,Brazil
Montana De La Rosa,United States of America,Nadia Kassem,Australia,2019-02-09,"Melbourne, Victoria, Australia", Australia,Red,False,Women's Flyweight,United States of America,Nadia Kassem,Australia
